simulation_id,winner_name,total_steps,final_civs,winner_resources,winner_tech,winner_weapon_investment,winner_search_investment,winner_camo_investment,winner_survival_drive,winner_known_civs,total_interactions,total_attacks,total_cooperations,avg_resource_pressure,max_resource_pressure
26,Tau Ceti,251,1,199.1113696667087,2723.092711461886,140.9407311042669,711.3281359492719,3.988983980729718,0.7,2,0,0,0,0.0008064060132296543,0.008
27,TRAPPIST-1,326,1,3401.494291235864,73938.71764348603,3841.0190059284705,1201.001276255332,29.845567761596104,0.7,2,0,0,0,0.008611447989950291,0.07776477235692503
28,Sol,245,1,595.9807967993063,9843.13979985406,535.5240333258043,1557.498940505821,16.900028516944325,0.7,1,0,0,0,0.001996907557223302,0.011461696899053467
29,Barnard's Star,281,1,444.2288743543691,6788.019775830926,361.5565207280958,1189.4544579154142,25.90455707951005,0.7,2,0,0,0,0.0017542934736624665,0.012644538192737618
30,TRAPPIST-1,289,1,685.0199420221174,11609.349633649133,264.0583496808069,1329.7139346354359,4.009310694288664,0.7,1,0,0,0,0.0012830101756087055,0.011907342318696215
31,Kepler-442,308,1,565.6746466785175,9220.09244586088,334.71842784944465,1119.1532890556903,4.043072944329302,0.7,1,0,0,0,0.0008902246222558195,0.009517289633742114
32,TRAPPIST-1,222,1,302.4144248094908,39649.478340856076,1291.2662165726074,981.0918032657912,7.815380569756046,0.7,3,0,0,0,0.0030363563813541185,0.027046671856952458
33,Epsilon Eridani,338,1,691.2459338956332,13833.610012083493,347.2488560680897,1348.1926682401106,4.2457903455836,0.7,1,0,0,0,0.0012225888184188548,0.013260494024662488
34,,320,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0013429738915598658,0.008818515940354177
35,Xylos,211,1,1201.8635115130066,21951.633966092122,452.0606865917615,1442.7853263533607,9.46478717689263,0.7,3,0,0,0,0.0018525478743795943,0.022177954437857514
36,Sol,254,1,776.3266628588484,13433.296523805557,611.4795443839445,1534.2964596691515,5.8079792022203796,0.7,3,0,0,0,0.002888240834840556,0.018704098165595595
37,Alpha Centauri,285,1,247.4769037056111,2851.012843149278,193.50351027477538,710.1553427633062,5.25176014433358,0.7,2,0,0,0,0.003328141028904764,0.03176604143382776
